"name","count"
Alabama,1988
Alaska,369
Arizona,1039
Arkansas,1234
California,5758
Colorado,1434
Connecticut,974
Delaware,307
District of Columbia,934
Florida,3322
Georgia,3059
Hawaii,193
Idaho,730
Illinois,3164
Indiana,2443
Iowa,2966
Kansas,1940
Kentucky,1802
Louisiana,1513
Maine,1226
Maryland,1494
Massachusetts,1460
Michigan,1910
Minnesota,3036
Mississippi,972
Missouri,3750
Montana,1686
Nebraska,1960
Nevada,429
New Hampshire,650
New Jersey,1460
New Mexico,698
New York,4957
North Carolina,3554
North Dakota,632
Ohio,3494
Oklahoma,2162
Oregon,1334
Pennsylvania,5062
Rhode Island,302
South Carolina,1070
South Dakota,726
Tennessee,1497
Texas,5975
Utah,870
Vermont,1041
Virginia,2214
Washington,1798
West Virginia,1571
Wisconsin,3848
Wyoming,262
